glyph_name,ps_name,sort_final,sort_design,USV
.notdef,.notdef,0,0,
.null,.null,1,1,
nonmarkingreturn,nonmarkingreturn,2,2,
space,space,3,3,0020
exclam,exclam,4,4,0021
quotedbl,quotedbl,5,5,0022
numbersign,numbersign,6,6,0023
dollar,dollar,7,7,0024
percent,percent,8,8,0025
ampersand,ampersand,9,9,0026
quotesingle,quotesingle,10,10,0027
parenleft,parenleft,11,11,0028
parenright,parenright,12,12,0029
asterisk,asterisk,13,13,002A
plus,plus,14,14,002B
comma,comma,15,15,002C
hyphen,hyphen,16,16,002D
period,period,17,17,002E
slash,slash,18,18,002F
zero,zero,19,19,0030
one,one,20,20,0031
two,two,21,21,0032
three,three,22,22,0033
four,four,23,23,0034
five,five,24,24,0035
six,six,25,25,0036
seven,seven,26,26,0037
eight,eight,27,27,0038
nine,nine,28,28,0039
colon,colon,29,29,003A
semicolon,semicolon,30,30,003B
less,less,31,31,003C
equal,equal,32,32,003D
greater,greater,33,33,003E
question,question,34,34,003F
at,at,35,35,0040
bracketleft,bracketleft,36,36,005B
backslash,backslash,37,37,005C
bracketright,bracketright,38,38,005D
underscore,underscore,39,39,005F
braceleft,braceleft,40,40,007B
bar,bar,41,41,007C
braceright,braceright,42,42,007D
asciitilde,asciitilde,43,43,007E
cent,cent,44,44,00A2
sterling,sterling,45,45,00A3
yen,yen,46,46,00A5
section,section,47,47,00A7
copyright,copyright,48,48,00A9
guillemetleft,guillemotleft,49,49,00AB
logicalnot,logicalnot,50,50,00AC
softhyphen,uni00AD,51,51,00AD
registered,registered,52,52,00AE
degree,degree,53,53,00B0
plusminus,plusminus,54,54,00B1
paragraph,paragraph,55,55,00B6
guillemetright,guillemotright,56,56,00BB
multiply,multiply,57,57,00D7
divide,divide,58,58,00F7
florin,florin,59,59,0192
gravecomb,gravecomb,60,60,0300
acutecomb,acutecomb,61,61,0301
macroncomb,uni0304,62,62,0304
dotaccentcomb,uni0307,63,63,0307
zerowidthspace,uni200B,64,64,200B
hyphentwo,uni2010,65,65,2010
nonbreakinghyphen,uni2011,66,66,2011
endash,endash,67,67,2013
emdash,emdash,68,68,2014
horizontalbar,uni2015,69,69,2015
quoteleft,quoteleft,70,70,2018
quoteright,quoteright,71,71,2019
quotesinglbase,quotesinglbase,72,72,201A
quotedblleft,quotedblleft,73,73,201C
quotedblright,quotedblright,74,74,201D
quotedblbase,quotedblbase,75,75,201E
dagger,dagger,76,76,2020
daggerdbl,daggerdbl,77,77,2021
bullet,bullet,78,78,2022
ellipsis,ellipsis,79,79,2026
perthousand,perthousand,80,80,2030
guilsinglleft,guilsinglleft,81,81,2039
guilsinglright,guilsinglright,82,82,203A
fraction,fraction,83,83,2044
wordjoiner,uni2060,84,84,2060
euro,Euro,85,85,20AC
trademark,trademark,86,86,2122
minus,minus,87,87,2212
approxequal,approxequal,88,88,2248
zeroWidthNoBreakSpace,uniFEFF,89,89,FEFF
Arkab-beria,u16EA0,90,90,16EA0
arkab-beria,u16EBB,91,91,16EBB
Basigna-beria,u16EA1,92,92,16EA1
basigna-beria,u16EBC,93,93,16EBC
Darbai-beria,u16EA2,94,94,16EA2
darbai-beria,u16EBD,95,95,16EBD
Eh-beria,u16EA3,96,96,16EA3
eh-beria,u16EBE,97,97,16EBE
Fitko-beria,u16EA4,98,98,16EA4
fitko-beria,u16EBF,99,99,16EBF
Goway-beria,u16EA5,100,100,16EA5
goway-beria,u16EC0,101,101,16EC0
Hirdeabo-beria,u16EA6,102,102,16EA6
hirdeabo-beria,u16EC1,103,103,16EC1
I-beria,u16EA7,104,104,16EA7
i-beria,u16EC2,105,105,16EC2
Djai-beria,u16EA8,106,106,16EA8
djai-beria,u16EC3,107,107,16EC3
Kobo-beria,u16EA9,108,108,16EA9
kobo-beria,u16EC4,109,109,16EC4
Lakko-beria,u16EAA,110,110,16EAA
lakko-beria,u16EC5,111,111,16EC5
Meri-beria,u16EAB,112,112,16EAB
meri-beria,u16EC6,113,113,16EC6
Nini-beria,u16EAC,114,114,16EAC
nini-beria,u16EC7,115,115,16EC7
Gna-beria,u16EAD,116,116,16EAD
gna-beria,u16EC8,117,117,16EC8
Ngay-beria,u16EAE,118,118,16EAE
ngay-beria,u16EC9,119,119,16EC9
Oi-beria,u16EAF,120,120,16EAF
oi-beria,u16ECA,121,121,16ECA
Pi-beria,u16EB0,122,122,16EB0
pi-beria,u16ECB,123,123,16ECB
Erigo-beria,u16EB1,124,124,16EB1
erigo-beria,u16ECC,125,125,16ECC
Erigo-Tamura-beria,u16EB2,126,126,16EB2
erigo-tamura-beria,u16ECD,127,127,16ECD
Seri-beria,u16EB3,128,128,16EB3
seri-beria,u16ECE,129,129,16ECE
Shep-beria,u16EB4,130,130,16EB4
shep-beria,u16ECF,131,131,16ECF
Tatasoue-beria,u16EB5,132,132,16EB5
tatasoue-beria,u16ED0,133,133,16ED0
Ui-beria,u16EB6,134,134,16EB6
ui-beria,u16ED1,135,135,16ED1
Wasse-beria,u16EB7,136,136,16EB7
wasse-beria,u16ED2,137,137,16ED2
Ay-beria,u16EB8,138,138,16EB8
ay-beria,u16ED3,139,139,16ED3
