fraction.copy1,divisionslash
acutecmb.cap,_acutecomb.cap
acutecmb,_acutecomb
caroncmb.cap,_caroncomb.cap
caroncmb,_caroncomb
cedillacmb.cap,_cedillacomb.cap
cedillacmb,_cedillacomb
circumflexcmb.cap,_circumflexcomb.cap
circumflexcmb,_circumflexcomb
dieresiscmb.cap,_dieresiscomb.cap
dieresiscmb,_dieresiscomb
gravecmb.cap,_gravecomb.cap
gravecmb,_gravecomb
ringcmb.cap,_ringcomb.cap
ringcmb,_ringcomb
tildecmb.cap,_tildecomb.cap
tildecmb,_tildecomb
zero.dnom,_zero.dnom
one.dnom,_one.dnom
two.dnom,_two.dnom
three.dnom,_three.dnom
four.dnom,_four.dnom
